Tyler Roberts
Raphinha
Rodrigo
Jack Harrison
Junior Firpo
Daniel James
Mason Holgate
Michael Keane
Ben Godfrey
Séamus Coleman
Allan
Abdoulaye Doucouré
Richarlison
Alexander Iwobi
Andros Townsend
Demarai Gray
Anthony Gordon
William Troost-Ekong
Craig Cathcart
Kiko Femenía
Tom Cleverley
João Pedro
Ismaïla Sarr
Imrân Louza
Emmanuel Dennis
Joshua King
Cucho Hernández
Juraj Kucka
Moussa Sissoko
Hassane Kamara
Samir
Matthew Lowton
Charlie Taylor
James Tarkowski
Ben Mee
Jack Cork
Jóhann Gudmundsson
Josh Brownhill
Dwight McNeil
Ashley Westwood
Jay Rodriguez
Aaron Lennon
Maxwel Cornet
Connor Roberts
Max Aarons
Grant Hanley
Kenny McLean
Teemu Pukki
Milot Rashica
Ben Gibson
Billy Gilmour
Pierre Lees-Melou
Joshua Sargent
Brandon Williams
Mathias Normann
Ozan Kabak
Kyle Walker
Rúben Dias
Aymeric Laporte
João Cancelo
Ilkay Gündogan
Rodri
Kevin De Bruyne
Bernardo Silva
Phil Foden
Raheem Sterling
Gabriel Jesus
Riyad Mahrez
Jack Grealish
Virgil van Dijk
Andrew Robertson
Joel Matip
Trent Alexander-Arnold
Fabinho
Thiago
Jordan Henderson
Sadio Mané
Mohamed Salah
Diogo Jota
Antonio Rüdiger
Marcos Alonso
Andreas Christensen
Thiago Silva
Reece James
Azpilicueta
Jorginho
N'Golo Kanté
Christian Pulisic
Mateo Kovacic
Mason Mount
Hakim Ziyech
Kai Havertz
Callum Hudson-Odoi
Trevoh Chalobah
Romelu Lukaku
Kieran Tierney
Gabriel Magalhães
Bukayo Saka
Thomas Partey
Emile Smith Rowe
Granit Xhaka
Alexandre Lacazette
Gabriel Martinelli
Albert Sambi Lokonga
Benjamin White
Martin Ødegaard
Takehiro Tomiyasu
Sergio Reguilón
Davinson Sánchez
Ben Davies
Pierre-Emile Højbjerg
Eric Dier
Son Heung-Min
Harry Kane
Lucas Moura
Oliver Skipp
Cristian Romero
Emerson Royal
Victor Lindelöf
Harry Maguire
Luke Shaw
Alex Telles
Aaron Wan-Bissaka
Paul Pogba
Fred
Bruno Fernandes
Nemanja Matic
Scott McTominay
Marcus Rashford
Mason Greenwood
Diogo Dalot
Jadon Sancho
Raphaël Varane
Cristiano Ronaldo
Aaron Cresswell
Vladimir Coufal
Angelo Ogbonna
Manuel Lanzini
Pablo Fornals
Tomas Soucek
Declan Rice
Saïd Benrahma
Jarrod Bowen
Michail Antonio
Craig Dawson
Kurt Zouma
Ben Johnson
Marçal
Conor Coady
Nélson Semedo
Maximilian Kilman
Rúben Neves
Daniel Podence
Romain Saïss
João Moutinho
Leander Dendoncker
Raúl Jiménez
Trincão
Rayan Aït-Nouri
Hwang Hee-Chan
Matthew Cash
Ezri Konsa
Tyrone Mings
Douglas Luiz
John McGinn
Jacob Ramsey
Ollie Watkins
Emiliano Buendía
Ashley Young
Danny Ings
Lucas Digne
Çaglar Söyüncü
Daniel Amartey
Timothy Castagne
Luke Thomas
Youri Tielemans
James Maddison
Marc Albrighton
Harvey Barnes
Wilfred Ndidi
Jamie Vardy
Kelechi Iheanacho
Boubakary Soumaré
Kiernan Dewsbury-Hall
Ademola Lookman
Kyle Walker-Peters
Mohammed Salisu
Jan Bednarek
Oriol Romeu
James Ward-Prowse
Nathan Redmond
Stuart Armstrong
Che Adams
Mohamed Elyounoussi
Romain Perraud
Valentino Livramento
Armando Broja
Adam Armstrong
Joel Ward
Tyrick Mitchell
Cheikhou Kouyaté
Jeffrey Schlupp
James McArthur
Jordan Ayew
Wilfried Zaha
Christian Benteke
Michael Olise
Marc Guéhi
Joachim Andersen
Conor Gallagher
Odsonne Édouard
Tariq Lamptey
Adam Webster
Lewis Dunk
Joël Veltman
Yves Bissouma
Alexis Mac Allister
Pascal Groß
Adam Lallana
Jakub Moder
Solly March
Neal Maupay
Leandro Trossard
Shane Duffy
Marc Cucurella
Ciaran Clark
Fabian Schär
Jamaal Lascelles
Emil Krafth
Javier Manquillo
Jonjo Shelvey
Matt Ritchie
Isaac Hayden
Ryan Fraser
Jacob Murphy
Miguel Almirón
Sean Longstaff
Joelinton
Allan Saint-Maximin
Callum Wilson
Joseph Willock
Chris Wood
Matt Targett
Dan Burn
Rico Henry
Ethan Pinnock
Pontus Jansson
Mads Roerslev
Christian Nørgaard
Mathias Jensen
Bryan Mbeumo
Vitaly Janelt
Sergi Canós
Ivan Toney
Kristoffer Ajer
Frank Onyeka
Luke Ayling
Robin Koch
Liam Cooper
Diego Llorente
Pascal Struijk
Adam Forshaw
Stuart Dallas
Kalvin Phillips
Mateusz Klich
Tyler Roberts
Raphinha
Rodrigo
Jack Harrison
Junior Firpo
Daniel James
Mason Holgate
Michael Keane
Ben Godfrey
Séamus Coleman
Allan
Abdoulaye Doucouré
Richarlison
Alexander Iwobi
Andros Townsend
Demarai Gray
Anthony Gordon
William Troost-Ekong
Craig Cathcart
Kiko Femenía
Tom Cleverley
João Pedro
Ismaïla Sarr
Imrân Louza
Emmanuel Dennis
Joshua King
Cucho Hernández
Juraj Kucka
Moussa Sissoko
Hassane Kamara
Samir
Matthew Lowton
Charlie Taylor
James Tarkowski
Ben Mee
Jack Cork
Jóhann Gudmundsson
Josh Brownhill
Dwight McNeil
Ashley Westwood
Jay Rodriguez
Aaron Lennon
Maxwel Cornet
Connor Roberts
Max Aarons
Grant Hanley
Kenny McLean
Teemu Pukki
Milot Rashica
Ben Gibson
Billy Gilmour
Pierre Lees-Melou
Joshua Sargent
Brandon Williams
Mathias Normann
Ozan Kabak
